Open,High,Low,Close,Contact,Open.Int,Rtn..1.Day,Rtn..1.Day.1,Rtn..2.Day,Date,sma20,ema14,dn,mavg,up,pctB,rsi14,macd,signal
1461,1472,1451,1452.75,124,8000,,,,2000/06/12,,,,,,,,,
1442,1449,1430,1438.75,66,10000,-0.0096,0.0075,0.0069,2000/06/13,,,,,,,,,
1455,1463.1,1444.1,1449.5,66,13600,0.0075,-0.0006,0.0185,2000/06/14,,,,,,,,,
1445,1455,1436,1448.7,142,16400,-0.0006,0.0191,0.0338,2000/06/15,,,,,,,,,
1456.7,1478.9,1452,1476.3,202,21200,0.0191,0.0145,0.0255,2000/06/16,,,,,,,,,
1482,1508,1479,1497.65,214,32800,0.0145,0.0109,-0.0077,2000/06/19,,,,,,,,,
1523,1523,1500,1513.95,124,34000,0.0109,-0.0184,-0.0136,2000/06/20,,,,,,,,,
1518.95,1519,1485,1486.15,106,34400,-0.0184,0.0048,-0.0057,2000/06/21,,,,,,,,,
1483.1,1499,1474,1493.35,80,32400,0.0048,-0.0105,-0.021,2000/06/22,,,,,,,,,
1495,1499,1475,1477.7,124,33600,-0.0105,-0.0106,-0.0148,2000/06/23,,,,,,,,,
1471,1472,1444,1462,166,20000,-0.0106,-0.0042,0.0053,2000/06/26,,,,,,,,,
1465,1467,1455,1455.9,42,17200,-0.0042,0.0095,0.0237,2000/06/27,,,,,,,,,
1456,1469.9,1456,1469.75,72,16400,0.0095,0.014,0.0101,2000/06/28,,,,,,,,,
1485,1499.9,1485,1490.35,126,14400,0.014,-0.0039,0.0073,2000/06/29,,1472.342857,,,,,,,
1487,1495,1480,1484.55,180,34800,-0.0039,0.0112,0.0201,2000/06/30,,1473.970476,,,,,57.81326781,,
1490.5,1503,1490,1501.25,158,39600,0.0112,0.0088,0.0143,2000/07/03,,1477.607746,,,,,61.23884277,,
1502,1515,1499.5,1514.4,252,62800,0.0088,0.0055,0.0023,2000/07/04,,1482.51338,,,,,63.7358998,,
1522,1527,1512.05,1522.7,238,64800,0.0055,-0.0032,-0.0033,2000/07/05,,1487.871596,,,,,65.25726257,,
1510,1521,1510,1517.9,246,59600,-0.0032,-0.0001,-0.0056,2000/07/06,,1491.875383,,,,,63.59564497,,
1520,1523,1514.75,1517.7,66,60000,-0.0001,-0.0055,0.0008,2000/07/07,1483.565,1495.318665,1432.08172,1483.565,1535.04828,0.831515398,63.52306662,,
1524.4,1524.4,1506.5,1509.4,136,53200,-0.0055,0.0063,0.018,2000/07/10,1486.3975,1497.196177,1435.781174,1486.3975,1537.013826,0.727224117,60.44031017,,
1517,1520.5,1508,1518.95,126,57600,0.0063,0.0116,0.0028,2000/07/11,1490.4075,1500.096686,1442.914677,1490.4075,1537.900323,0.800492769,62.68424361,,
1513.25,1538.5,1510.5,1536.5,190,70000,0.0116,-0.0087,-0.016,2000/07/12,1494.7575,1504.950462,1447.111962,1494.7575,1542.403038,0.938052564,66.45043526,,
1542,1564,1520,1523.2,422,50800,-0.0087,-0.0074,-0.0262,2000/07/13,1498.4825,1507.383733,1454.29957,1498.4825,1542.66543,0.779717757,61.39345299,,
1526,1532,1508.05,1511.9,518,50000,-0.0074,-0.0189,-0.0303,2000/07/14,1500.2625,1507.985902,1456.937555,1500.2625,1543.587445,0.634304844,57.39683162,,
1513.5,1513.5,1482.05,1483.35,450,75600,-0.0189,-0.0117,-0.0265,2000/07/17,1499.5475,1504.701115,1455.60609,1499.5475,1543.48891,0.315692075,48.76012599,1.42598126,
1484.5,1484.8,1465,1466.05,368,80400,-0.0117,-0.015,-0.0235,2000/07/18,1497.1525,1499.547633,1451.426867,1497.1525,1542.878133,0.159900823,44.40028518,1.28779222,
1470,1471.5,1443,1444,188,80800,-0.015,-0.0086,-0.0252,2000/07/19,1495.045,1492.141282,1443.918745,1495.045,1546.171255,0.000794646,39.54669423,0.954161148,
1441.1,1450,1425,1431.65,324,107200,-0.0086,-0.0168,-0.0759,2000/07/20,1491.96,1484.075778,1433.830527,1491.96,1550.089473,-0.018755781,37.10045093,0.538033938,
